iter	Passed	Remaining
476	1739	1907
477	1743	1903
478	1746	1899
479	1749	1895
480	1753	1892
481	1757	1888
482	1760	1884
483	1763	1880
484	1767	1876
485	1770	1872
486	1774	1868
487	1777	1864
488	1781	1861
489	1784	1857
490	1788	1853
491	1791	1849
492	1794	1845
493	1798	1842
494	1801	1838
495	1805	1834
496	1808	1830
497	1812	1826
498	1815	1823
499	1819	1819
500	1822	1815
501	1826	1811
502	1829	1807
503	1833	1804
504	1836	1800
505	1840	1796
506	1843	1792
507	1847	1789
508	1850	1785
509	1854	1781
510	1857	1777
511	1861	1774
512	1864	1770
513	1868	1766
514	1871	1762
515	1875	1759
516	1878	1755
517	1882	1751
518	1885	1747
519	1889	1743
520	1892	1740
521	1896	1736
522	1900	1732
523	1903	1729
524	1906	1725
525	1910	1721
526	1913	1717
527	1917	1714
528	1920	1710
529	1924	1706
530	1928	1702
531	1931	1699
532	1935	1695
533	1939	1692
534	1942	1688
535	1946	1685
536	1950	1681
537	1953	1677
538	1957	1673
539	1961	1670
540	1964	1666
541	1968	1663
542	1972	1659
543	1975	1655
544	1979	1652
545	1982	1648
546	1986	1645
547	1990	1641
548	1993	1637
549	1997	1634
550	2001	1630
551	2004	1626
552	2008	1623
553	2012	1619
554	2015	1616
555	2019	1612
556	2022	1608
557	2026	1605
558	2029	1601
559	2033	1597
560	2036	1593
561	2040	1590
562	2043	1586
563	2047	1582
564	2050	1578
565	2054	1575
566	2057	1571
567	2061	1567
568	2064	1564
569	2068	1560
570	2071	1556
571	2075	1552
572	2078	1549
573	2082	1545
574	2085	1541
575	2089	1537
576	2092	1534
577	2096	1530
578	2099	1526
579	2103	1522
580	2106	1519
581	2110	1515
582	2113	1511
583	2117	1508
584	2120	1504
585	2124	1500
586	2127	1496
587	2131	1493
588	2134	1489
589	2138	1485
590	2141	1482
591	2145	1478
592	2148	1474
593	2152	1471
594	2155	1467
595	2159	1463
596	2162	1460
597	2166	1456
598	2169	1452
599	2173	1448
600	2177	1445
601	2180	1441
602	2184	1437
603	2187	1434
604	2191	1430
605	2194	1426
606	2198	1423
607	2201	1419
608	2205	1416
609	2209	1412
610	2213	1408
611	2216	1405
612	2219	1401
613	2223	1397
614	2227	1394
615	2230	1390
616	2234	1386
617	2237	1383
618	2241	1379
619	2244	1375
620	2248	1372
621	2251	1368
622	2255	1364
623	2258	1361
624	2262	1357
625	2265	1353
626	2269	1350
627	2273	1346
628	2276	1342
629	2280	1339
630	2283	1335
631	2287	1331
632	2291	1328
633	2294	1324
634	2298	1321
635	2301	1317
636	2305	1313
637	2308	1310
638	2312	1306
639	2315	1302
640	2319	1298
641	2322	1295
642	2326	1291
643	2329	1287
644	2333	1284
645	2336	1280
646	2340	1277
647	2344	1273
648	2347	1269
649	2350	1265
650	2354	1262
651	2358	1258
652	2361	1254
653	2364	1251
654	2368	1247
655	2371	1243
656	2375	1240
657	2378	1236
658	2382	1232
659	2386	1229
660	2389	1225
661	2392	1221
662	2396	1218
663	2399	1214
664	2403	1210
665	2407	1207
666	2410	1203
667	2414	1199
668	2417	1196
669	2422	1193
670	2426	1189
671	2431	1186
672	2436	1183
673	2440	1180
674	2444	1176
675	2447	1173
676	2451	1169
677	2455	1166
678	2458	1162
679	2462	1158
680	2465	1154
681	2469	1151
682	2472	1147
683	2476	1144
684	2479	1140
685	2483	1136
686	2487	1133
687	2490	1129
688	2494	1125
689	2497	1122
690	2501	1118
691	2505	1114
692	2508	1111
693	2511	1107
694	2515	1103
695	2519	1100
696	2522	1096
697	2526	1093
698	2529	1089
699	2533	1085
700	2537	1082
701	2540	1078
702	2543	1074
703	2547	1071
704	2551	1067
705	2555	1064
706	2558	1060
707	2562	1056
708	2566	1053
709	2569	1049
710	2573	1045
711	2576	1042
712	2580	1038
713	2584	1035
714	2587	1031
715	2591	1027
716	2594	1024
717	2598	1020
718	2601	1016
719	2605	1013
720	2608	1009
721	2612	1005
722	2615	1002
723	2619	998
724	2622	994
725	2626	991
726	2630	987
727	2633	984
728	2637	980
729	2640	976
730	2644	972
731	2647	969
732	2651	965
733	2654	962
734	2658	958
735	2661	954
736	2665	951
737	2669	947
738	2672	943
739	2676	940
740	2679	936
741	2683	933
742	2686	929
743	2690	925
744	2694	922
745	2697	918
746	2701	914
747	2704	911
748	2708	907
749	2712	904
750	2715	900
751	2719	896
752	2722	893
753	2726	889
754	2729	885
755	2733	882
756	2736	878
757	2740	874
758	2743	871
759	2747	867
760	2750	863
761	2754	860
762	2757	856
763	2761	852
764	2764	849
765	2768	845
766	2771	841
767	2775	838
768	2778	834
769	2782	831
770	2785	827
771	2789	823
772	2792	820
773	2796	816
774	2799	812
775	2802	809
776	2806	805
777	2810	801
778	2813	798
779	2816	794
780	2820	790
781	2824	787
782	2827	783
783	2830	779
784	2834	776
785	2837	772
786	2841	769
787	2844	765
788	2848	761
789	2851	758
790	2855	754
791	2858	750
792	2862	747
793	2865	743
794	2869	739
795	2872	736
796	2876	732
797	2879	728
798	2883	725
799	2886	721
800	2890	718
801	2893	714
802	2897	710
803	2900	707
804	2904	703
805	2907	699
806	2911	696
807	2914	692
808	2918	689
809	2922	685
810	2925	681
811	2929	678
812	2933	674
813	2937	671
814	2941	667
815	2945	664
816	2949	660
817	2958	658
818	2963	654
819	2967	651
820	2972	647
821	2976	644
822	2979	640
823	2983	637
824	2987	633
825	2990	630
826	2994	626
827	2997	622
828	3001	619
829	3005	615
830	3008	611
831	3012	608
832	3015	604
833	3019	600
834	3022	597
835	3026	593
836	3029	590
837	3033	586
838	3037	582
839	3040	579
840	3044	575
841	3047	571
842	3051	568
843	3054	564
844	3058	561
845	3061	557
846	3065	553
847	3069	550
848	3072	546
849	3076	542
850	3079	539
851	3083	535
852	3086	531
853	3090	528
854	3093	524
855	3097	521
856	3101	517
857	3104	513
858	3108	510
859	3111	506
860	3115	502
861	3118	499
862	3122	495
863	3125	492
864	3129	488
865	3132	484
866	3136	481
867	3140	477
868	3143	473
869	3147	470
870	3150	466
871	3154	463
872	3157	459
873	3161	455
874	3164	452
875	3168	448
876	3172	444
877	3175	441
878	3179	437
879	3182	434
880	3186	430
881	3190	426
882	3193	423
883	3197	419
884	3200	415
885	3204	412
886	3208	408
887	3212	405
888	3215	401
889	3219	397
890	3223	394
891	3226	390
892	3229	387
893	3233	383
894	3237	379
895	3240	376
896	3244	372
897	3247	368
898	3251	365
899	3254	361
900	3258	358
901	3261	354
902	3265	350
903	3269	347
904	3272	343
905	3276	339
906	3279	336
907	3283	332
908	3286	329
909	3290	325
910	3293	321
911	3297	318
912	3300	314
913	3304	310
914	3307	307
915	3311	303
916	3314	300
917	3318	296
918	3322	292
919	3326	289
920	3330	285
921	3335	282
922	3338	278
923	3342	274
924	3346	271
925	3350	267
926	3353	264
927	3357	260
928	3361	256
929	3364	253
930	3368	249
931	3371	246
932	3375	242
933	3379	238
934	3382	235
935	3386	231
936	3389	227
937	3393	224
938	3397	220
939	3400	217
940	3404	213
941	3407	209
942	3411	206
943	3415	202
944	3418	198
945	3422	195
946	3425	191
947	3429	188
948	3432	184
949	3436	180
950	3439	177
951	3443	173
952	3447	170
953	3450	166
954	3454	162
955	3457	159
956	3461	155
957	3464	151
958	3468	148
959	3471	144
960	3475	141
961	3478	137
962	3482	133
963	3486	130
964	3489	126
965	3493	122
966	3497	119
967	3500	115
968	3503	112
969	3507	108
970	3511	104
971	3514	101
972	3518	97
973	3521	94
974	3525	90
975	3528	86
976	3532	83
977	3536	79
978	3539	75
979	3543	72
980	3546	68
981	3550	65
982	3553	61
983	3557	57
984	3561	54
985	3564	50
986	3568	46
987	3571	43
988	3575	39
989	3578	36
990	3582	32
991	3586	28
992	3589	25
993	3593	21
994	3596	18
995	3600	14
996	3603	10
997	3606	7
998	3610	3
999	3613	0
